index,Name,Rating_Volume,Rating,Genre,Description
0,Fresh Air,10188,4.46133,Arts,"Fresh Air from WHYY, the Peabody Award-winning weekday magazine of contemporary arts and issues, is one of public radio's most popular programs. Hosted by Terry Gross, the show features intimate conversations with today's biggest luminaries."
0,The Moth,10154,4.69982,Performing,"Since its launch in 1997, The Moth has presented thousands of true stories, told live and without notes, to standing-room-only crowds worldwide. Moth storytellers stand alone, under a spotlight, with only a microphone and a roomful of strangers. The storyteller and the audience embark on a high-wire act of shared experience which is both terrifying and exhilarating. Since 2008, The Moth podcast has featured many of our favorite stories told live on Moth stages around the country. For information on all of our programs and live events, visit themoth.org."
0,99% Invisible,12303,4.8693,Design,"Design is everywhere in our lives, perhaps most importantly in the places where we've just stopped noticing. 99% Invisible is a weekly exploration of the process and power of design and architecture. From award winning producer Roman Mars. Learn more at 99percentinvisible.org.
A proud member of Radiotopia, from PRX. Learn more at radiotopia.fm."
0,iFanboy.com Comic Book Podcast,1335,4.79551,Visual,"The iFanboy.com Comic Book Podcast is a weekly talk show discussing the best in current comic books. Ron, Conor and Josh will share what they loved and hated about the week's comics. With a deep, sometimes scary knowledge of the depths and intricacies of pop culture and the geek lifestyle, the conversations can spin off in many directions. While comics, graphic novels and trade paperbacks are the center of the iFanboy universe, the discussion often covers the video games, movies and TV shows which will capture the fancy of your regular comic book reader. Fun, intelligent, witty and entertaining, the iFanboy crew are just as likely to agree as argue about what's good and what's bad in superhero comics, indie comics, humorous comics, and important graphic novels as well as the creators, writers and artists behind them.  We've even occasionally been in the same room as guys like Brian Michael Bendis, Darwyn Cooke, Kurt Busiek, Warren Ellis, Jim Lee, Joe Quesada, Steve Dillon, Kevin Smith, Stan Lee and others.  It was a big room, but we were in it. This podcast is so good, you don't even need to read comic books to enjoy it, but it's a lot better if you do."
0,Myths and Legends,11128,4.88282,Literature,"Jason Weiser tells stories from myths, legends, and folklore that have shaped cultures throughout history. Some, like the stories of Aladdin, King Arthur, and Hercules are stories you think you know, but with surprising origins. Others are stories you might not have heard, but really should. All the stories are sourced from world folklore, but retold for modern ears.

These are stories of wizards, knights, Vikings, dragons, princesses, and kings from the time when the world beyond the map was a dangerous and wonderful place."
0,Snap Judgment,5040,4.73492,Performing,"Snap Judgment (Storytelling, with a BEAT) mixes real stories with killer beats to produce cinematic, dramatic, kick-ass radio. Snap’s raw, musical brand of storytelling dares listeners to see the world through the eyes of another. 
WNYC Studios is a listener-supported producer of leading podcasts including Radiolab, On the Media, Nancy, Here’s the Thing with Alec Baldwin, and many others.
© WNYC Studios"
0,11 O'Clock Comics Podcast,514,4.80739,Visual,"VinceB, David Price, and Jason Wood talk comic books and stuff."
0,Raging Bullets,112,4.55356,Visual,"Raging Bullets is a podcast reviewing everything related to DC Comics.  Each episode we take a look at something past, something current and even touch on some things outside the DC Universe in our comic book review segments.  We will even have some special episodes highlighting movies, animation, television and any other media relating to DC. We welcome emails and audio comments from our listeners. Please send them to ragingbullets@gmail.com and check out our website at ragingbullets.com. We hope you enjoy the show as much as we enjoy creating it."
0,The New Yorker: Fiction,1039,4.48412,Literature,A monthly reading and conversation with the New Yorker fiction editor Deborah Treisman.
0,The Black Tapes,8711,4.47733,Performing,"The Black Tapes is a weekly podcast from the creators of Pacific Northwest Stories, and is hosted by Alex Reagan. The Black Tapes Podcast is a serialized docudrama about one journalist's search for truth, her subject's mysterious past, and the literal and figurative ghosts that haunt them both. Do you believe?"
